device_name,adom,serial,ip,platform,os_version,conn_status,db_status,policy_package,policy_status
cl-fw-rjo-DOM-106-Inhauma,DOM_ATACAREJO,FGT40FTK2209HHJ7,187.32.148.73,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-106-Inhauma,❓ Unknown
cl-fw-rjo-DOM-113-SaoPedro,DOM_ATACAREJO,FGT40FTK21052462,187.32.223.81,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-113-SaoPedro,❓ Unknown
cl-fw-rjo-DOM-114-CampoGran,DOM_ATACAREJO,FGT40FTK21050604,179.108.126.101,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-114-CampoGran,❓ Unknown
cl-fw-rjo-DOM-115-Campos1,DOM_ATACAREJO,FGT40FTK23099242,187.32.232.217,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-115-Campos1,❓ Unknown
cl-fw-rjo-DOM-117-Caxias2,DOM_ATACAREJO,FGT40FTK2209HHS6,187.32.58.221,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-117-Caxias2,❓ Unknown
cl-fw-rjo-DOM-120-Itaperuna,DOM_ATACAREJO,FGT40FTK22099S03,187.72.80.105,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-120-Itaperuna,❓ Unknown
cl-fw-rjo-DOM-121-Campos2,DOM_ATACAREJO,FGT40FTK23099557,177.55.207.152,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-121-Campos2,❓ Unknown
cl-fw-rjo-DOM-124-mesquita,DOM_ATACAREJO,FGT40FTK23092498,181.191.146.233,FortiGate-40F,v7.0.10,🟢 Up,✅ In-Sync,cl-fw-DomAtacarejo_Lojas,❓ Unknown
cl-fw-rjo-DOM-129-Iguacu,DOM_ATACAREJO,FGT40FTK2109A2H7,187.102.215.27,FortiGate-40F,v7.0.11,🟢 Up,✅ In-Sync,cl-fw-DomAtacarejo_Lojas,❓ Unknown
cl-fw-rjo-DOM-RioCentro-MTZ,DOM_ATACAREJO,FG100FTK23024786,189.38.98.173,FortiGate-100F,v7.0.13,🟢 Up,✅ In-Sync,cl-fw-rjo-DOM-RioCentro-MTZ,❓ Unknown
