device_name,hostname,adom,serial,platform,os_version,status,file_size_bytes,file_size_kb,file_path,error_message
cl-fw-ldp-MartMinas-255,cl-fw-ldp-MartMinas-255,MART_MINAS,FGT40FTK21099AAZ,FortiGate-40F,v7.0.13,✅ Sucesso,741218,723.85,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-ldp-MartMinas-255-17-05-47.conf,
cl-fw-lgt-MartMinas-279,cl-fw-lgt-MartMinas-279,MART_MINAS,FGT40FTK23091312,FortiGate-40F,v7.0.13,✅ Sucesso,689662,673.5,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-lgt-MartMinas-279-17-05-47.conf,
cl-fw-mcl-MartMinas-219,cl-fw-mcl-MartMinas-219,MART_MINAS,FGT40FTK21052149,FortiGate-40F,v7.0.13,✅ Sucesso,729227,712.14,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-mcl-MartMinas-219-17-05-47.conf,
cl-fw-mcl-MartMinas-259,cl-fw-mcl-MartMinas-259,MART_MINAS,FGT40FTK21047070,FortiGate-40F,v7.0.13,✅ Sucesso,714148,697.41,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-mcl-MartMinas-259-17-05-47.conf,
cl-fw-mcl-MartMinas-260,cl-fw-mcl-MartMinas-260,MART_MINAS,FGT40FTK21009570,FortiGate-40F,v7.0.13,✅ Sucesso,713326,696.61,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-mcl-MartMinas-260-17-05-47.conf,
cl-fw-moo-MartMinas-249,cl-fw-moo-MartMinas-249,MART_MINAS,FGT40FTK21099A4H,FortiGate-40F,v7.0.13,✅ Sucesso,717173,700.36,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-moo-MartMinas-249-17-05-47.conf,
cl-fw-nla-MartMinas-252,cl-fw-nla-MartMinas-252,MART_MINAS,FGT40FTK21099A39,FortiGate-40F,v7.0.13,✅ Sucesso,728428,711.36,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-nla-MartMinas-252-17-05-47.conf,
cl-fw-oci-MartMinas-A,cl-fw-oci-MartMinas-B,MART_MINAS,FGVMSLTM26003257,FortiGate-VM64-OPC,v7.0.13,✅ Sucesso,560859,547.71,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-oci-MartMinas-B-17-05-47.conf,
cl-fw-oci-martminas-dr,cl-fw-oci-martminas-dr,MART_MINAS,FGVM4VTM24000943,FortiGate-VM64-OPC,v7.0.13,✅ Sucesso,368347,359.71,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-oci-martminas-dr-17-05-47.conf,
cl-fw-pcs-MartMinas-242,cl-fw-pcs-MartMinas-242,MART_MINAS,FGT40FTK21020828,FortiGate-40F,v7.0.13,✅ Sucesso,729857,712.75,/home/atalaya/Projetos/dev/API FortiManager/backups/2026-08-06/MART_MINAS/cl-fw-pcs-MartMinas-242-17-05-47.conf,
